timestamp,temperature,humidity,pressure,status,affected_sensor,alert_type,severity,confidence,explanation,confidence_percent
2026-01-01 00:00:00,30.397371322408986,72.798710873172,1009.6624108625128,Normal,None,Normal,None,0.99,All monitored parameters remain within the learned normal operating pattern.,99.0
2026-01-01 00:10:00,29.989481972590422,71.6490805387708,1009.9577701931718,Normal,None,Normal,None,0.99,All monitored parameters remain within the learned normal operating pattern.,99.0
2026-01-01 00:20:00,30.718297541314787,69.71896731817188,1009.6638460876164,Normal,None,Normal,None,0.99,All monitored parameters remain within the learned normal operating pattern.,99.0
2026-01-01 00:30:00,31.518543676904606,68.10588686103247,1009.9360957853,Normal,None,Normal,None,0.99,All monitored parameters remain within the learned normal operating pattern.,99.0
2026-01-01 00:40:00,30.212649888587894,70.59650145049405,1009.1732806930237,Normal,None,Normal,None,0.99,All monitored parameters remain within the learned normal operating pattern.,99.0
2026-01-01 00:50:00,30.31235551525585,69.7876406092131,1010.2567343238122,Normal,None,Normal,None,0.99,All monitored parameters remain within the learned normal operating pattern.,99.0
2026-01-01 01:00:00,31.86252756599378,70.59207181287974,1010.180674612748,Normal,None,Normal,None,0.99,All monitored parameters remain within the learned normal operating pattern.,99.0
2026-01-01 01:10:00,31.31235719473232,69.87352478054395,1009.8014939213687,Normal,None,Normal,None,0.99,All monitored parameters remain within the learned normal operating pattern.,99.0
2026-01-01 01:20:00,30.4218020865022,70.50434224013836,1010.5696063872361,Normal,None,Normal,None,0.99,All monitored parameters remain within the learned normal operating pattern.,99.0
2026-01-01 01:30:00,31.330082233131836,67.13746118035274,1010.7386898917271,Normal,None,Normal,None,0.99,All monitored parameters remain within the learned normal operating pattern.,99.0
2026-01-01 01:40:00,30.623593527437524,70.64613276789366,1009.4960191163046,Normal,None,Normal,None,0.99,All monitored parameters remain within the learned normal operating pattern.,99.0
2026-01-01 01:50:00,30.7196388478368,68.2107539079988,1009.9483008450774,Normal,None,Normal,None,0.99,All monitored parameters remain within the learned normal operating pattern.,99.0
2026-01-01 02:00:00,31.383249687421703,71.77116200491278,1009.9749232132591,Normal,None,Normal,None,0.99,All monitored parameters remain within the learned normal operating pattern.,99.0
2026-01-01 02:10:00,29.756036084722815,66.04830380292276,1009.9193379702455,Normal,None,Normal,None,0.99,All monitored parameters remain within the learned normal operating pattern.,99.0
2026-01-01 02:20:00,30.00319074695638,70.70567758039688,1010.8337830678119,Normal,None,Normal,None,0.99,All monitored parameters remain within the learned normal operating pattern.,99.0
2026-01-01 02:30:00,31.02920538243999,67.43775075525976,1010.3518467153566,Normal,None,Normal,None,0.99,All monitored parameters remain within the learned normal operating pattern.,99.0
2026-01-01 02:40:00,30.76408812306261,65.54845795411082,1010.3461715364948,Normal,None,Normal,None,0.99,All monitored parameters remain within the learned normal operating pattern.,99.0
2026-01-01 02:50:00,31.920437517397122,65.69414902924956,1009.5061190090289,Normal,None,Normal,None,0.99,All monitored parameters remain within the learned normal operating pattern.,99.0
